ProductKey;CustomerKey;SalesOrderNumber;OrderQuantity;UnitPrice;DueDate
528;14870;SO51900;1;4,99;09.02.2013
528;15319;SO51948;1;4,99;10.02.2013
528;16384;SO52043;1;4,99;12.02.2013
528;15476;SO52045;1;4,99;12.02.2013
528;15861;SO52094;1;4,99;13.02.2013
528;26017;SO52175;1;4,99;15.02.2013
528;14761;SO52190;1;4,99;15.02.2013
528;22038;SO52232;1;4,99;16.02.2013
528;22163;SO52234;1;4,99;16.02.2013
528;16018;SO52245;1;4,99;16.02.2013
528;25839;SO52301;1;4,99;17.02.2013
528;11260;SO52314;1;4,99;17.02.2013
528;23695;SO52342;1;4,99;18.02.2013
528;15198;SO52387;1;4,99;19.02.2013
528;15414;SO52499;1;4,99;21.02.2013
528;15469;SO52500;1;4,99;21.02.2013
528;14901;SO52545;1;4,99;22.02.2013
528;17369;SO52593;1;4,99;23.02.2013
528;24930;SO52627;1;4,99;24.02.2013
528;14507;SO52637;1;4,99;24.02.2013
528;15158;SO52696;1;4,99;25.02.2013
528;14505;SO52746;1;4,99;26.02.2013
528;15742;SO52865;1;4,99;28.02.2013
528;11950;SO52916;1;4,99;01.03.2013
528;15397;SO52940;1;4,99;02.03.2013
528;14921;SO53035;1;4,99;04.03.2013
528;15301;SO53103;1;4,99;05.03.2013
528;15366;SO53154;1;4,99;06.03.2013
528;15161;SO53215;1;4,99;07.03.2013
528;17336;SO53312;1;4,99;09.03.2013
528;15275;SO53425;1;4,99;11.03.2013
528;26469;SO53887;1;4,99;17.03.2013
528;15496;SO53896;1;4,99;17.03.2013
528;14623;SO53947;1;4,99;18.03.2013
528;12073;SO53959;1;4,99;18.03.2013
528;15487;SO54003;1;4,99;19.03.2013
528;16001;SO54064;1;4,99;20.03.2013
528;14463;SO54065;1;4,99;20.03.2013
528;11049;SO54129;1;4,99;21.03.2013
528;15485;SO54284;1;4,99;24.03.2013
528;14749;SO54495;1;4,99;28.03.2013
528;15285;SO54499;1;4,99;28.03.2013
528;22226;SO54615;1;4,99;30.03.2013
528;11140;SO54694;1;4,99;31.03.2013
528;26472;SO54727;1;4,99;01.04.2013
528;15281;SO54740;1;4,99;01.04.2013
